epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0481,1.90512,7.08891,0.01991,0.42494,0.15015,0.14083,0.05594,1.72417,5.67536,0.02144,0.000247159,0.000247159,0.000247159
2,152.157,1.69838,5.74703,0.01754,0.2984,0.31348,0.24378,0.0796,2.01224,4.10249,0.0269,0.000497105,0.000497105,0.000497105
3,212.228,1.70755,4.59918,0.01765,0.40205,0.33894,0.30693,0.11242,1.94251,2.71764,0.02355,0.000746835,0.000746835,0.000746835
4,271.867,1.74884,3.79639,0.01834,0.42533,0.41197,0.41331,0.15953,1.99699,2.27669,0.02573,0.000996185,0.000996185,0.000996185
5,331.63,1.80648,3.19886,0.01915,0.47474,0.48344,0.44864,0.16841,1.99095,2.27687,0.02687,0.00124499,0.00124499,0.00124499
6,390.207,1.84479,2.8022,0.01955,0.49705,0.49827,0.48938,0.18578,2.04394,1.98391,0.02648,0.00124661,0.00124661,0.00124661
7,450.049,1.84454,2.65021,0.01922,0.50898,0.50339,0.47643,0.16507,2.04652,2.18625,0.026,0.00124512,0.00124512,0.00124512
8,509.71,1.83498,2.50272,0.0196,0.52653,0.51762,0.51035,0.19025,2.00342,1.93017,0.02534,0.00124336,0.00124336,0.00124336
9,565.418,1.83678,2.35816,0.01862,0.52845,0.5408,0.52279,0.18898,2.12902,1.91957,0.02739,0.00124134,0.00124134,0.00124134
10,624.354,1.82101,2.334,0.01932,0.58791,0.50709,0.52655,0.17228,2.20662,1.89882,0.02926,0.00123904,0.00123904,0.00123904
11,682.819,1.81597,2.24361,0.01906,0.60286,0.60921,0.59145,0.25255,1.91798,1.70807,0.02386,0.00123648,0.00123648,0.00123648
12,742.363,1.82811,2.20026,0.01934,0.62901,0.53844,0.5919,0.23718,2.01964,1.6931,0.02425,0.00123365,0.00123365,0.00123365
13,802.422,1.80092,2.13447,0.01876,0.61672,0.53436,0.55959,0.22406,2.01399,1.78622,0.02458,0.00123056,0.00123056,0.00123056
14,862.756,1.79133,2.12388,0.01937,0.62265,0.59035,0.61739,0.24554,2.00957,1.55664,0.02579,0.00122721,0.00122721,0.00122721
15,922.968,1.83544,2.0989,0.0195,0.57107,0.61773,0.60752,0.23623,2.07219,1.64419,0.0252,0.00122359,0.00122359,0.00122359
16,979.846,1.82637,2.03597,0.01873,0.64235,0.61267,0.63514,0.26899,1.97819,1.50057,0.02439,0.00121972,0.00121972,0.00121972
17,1038.63,1.78212,1.9437,0.01861,0.64329,0.58964,0.61151,0.26339,2.01938,1.63674,0.02528,0.00121558,0.00121558,0.00121558
18,1096.75,1.82084,1.97491,0.01867,0.62109,0.61493,0.61344,0.24925,2.04954,1.52097,0.02514,0.00121119,0.00121119,0.00121119
19,1156.27,1.78554,1.9205,0.01899,0.70549,0.62973,0.66693,0.2647,1.99753,1.5084,0.02488,0.00120655,0.00120655,0.00120655
20,1215.75,1.80125,1.89934,0.01851,0.61896,0.61915,0.60845,0.23979,2.02689,1.54138,0.025,0.00120165,0.00120165,0.00120165
21,1275.94,1.79152,1.88414,0.01852,0.62636,0.6248,0.63618,0.24319,2.1026,1.55501,0.02585,0.00119651,0.00119651,0.00119651
22,1341.36,1.79409,1.90746,0.01816,0.68458,0.64127,0.66513,0.28443,1.96694,1.38807,0.02425,0.00119111,0.00119111,0.00119111
23,1405.66,1.78828,1.87153,0.01846,0.66966,0.66353,0.67883,0.28952,1.94504,1.3707,0.02357,0.00118547,0.00118547,0.00118547
